PRODUCT NAME,Category,MRP Incl. GST,MRP Ex. GST,HSN CODE,TYPRE
KP 7/73 MEDIUM BLND BRWN GLD 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
WP EIMI BOLD MOVE 150ML ,Wella Professional,₹ 700.00,₹ 593.22,33059050,CAN-CANS
WP EIMI SHINE GLAM MIST 200ML ,Wella Professional,₹ 900.00,₹ 762.71,33059050,BTL-BOTTLES
WP EIMI DRY ME 180ML ,Wella Professional,"₹ 1,050.00",₹ 889.83,33059050,BTL-BOTTLES
SP DIA BALANCE  MASK 200ML ,System Professional,"₹ 2,900.00","₹ 2,457.63",33059090,CAN-CANS
KP 7/75 BROWN MHGNY 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
WP EIMI RUGGED TEXTURE 75ML ,Wella Professional,₹ 700.00,₹ 593.22,33059050,TUB-TUBES
SP DIA HYDRATE EMUL 50ML ,System Professional,₹ 510.00,₹ 432.20,33059090,BTL-BOTTLES
SP DIA BALANCE SHMP 250ML ,System Professional,"₹ 2,100.00","₹ 1,779.66",33051090,BTL-BOTTLES
SEB TAMING ELIXIR SERUM 140ML ,Sebastain,"₹ 2,300.00","₹ 1,949.15",33059090,BTL-BOTTLES
SP DIA REPAIR EMUL 50ML,System Professional,₹ 510.00,₹ 432.20,33059090,BTL-BOTTLES
SP DIA BALANCE LOTION 125ML ,System Professional,"₹ 2,300.00","₹ 1,949.15",33059090,BTL-BOTTLES
WP INVIGO BAL PURE SHMP 1000ML ,Wella Professional,"₹ 1,450.00","₹ 1,228.81",33059090,BTL-BOTTLES
CT EMULSION 1.9% 1000ML ,Wella Professional,₹ 750.00,₹ 635.59,33059040,BTL-BOTTLES
SP DIA REPAIR SHMP 250ML  ,System Professional,"₹ 2,050.00","₹ 1,737.29",33051090,BTL-BOTTLES
SP DIA HYDRATE QUENCHINGMIST 125ML ,System Professional,"₹ 2,300.00","₹ 1,949.15",33059090,BTL-BOTTLES
SP DIA COLOR SAVE SHMP 250ML ,System Professional,"₹ 2,050.00","₹ 1,737.29",33051090,BTL-BOTTLES
ELEMENTS 2.0 SHAMPOO 250ML,Wella Professional,"₹ 1,250.00","₹ 1,059.32",33059090,BTL-BOTTLES
WELLOXON PRFT ME+ 9% 1L,Wella Professional,₹ 750.00,₹ 635.59,33059090,BTL-BOTTLES
KP 10/1 LIGHTEST LIND ASH 60G,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
SEB TEXTURE MAKER 150ML ,Sebastain,"₹ 1,850.00","₹ 1,567.80",33059050,BTL-BOTTLES
KP ME+ 66/56 INT MHGNY VLT 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 77/44 MEDIUM RED INT 60GM,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WP OIL REFLECTN 100ML,Wella Professional,"₹ 1,300.00","₹ 1,101.69",33059050,BTL-BOTTLES
SP DIA SMOOTHEN INF 20X5ML  ,System Professional,"₹ 5,000.00","₹ 4,237.29",33059090,BOX-BOX
NL PASSION 3.75ML,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
NL ALPINE SNOW 3.75ML ,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
OPI NAIL ENVY ORIGINAL FORMULA 3.75ML,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
NL MINI BIG APPLE RED 3.75ML,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
NL CAJUN SHRIMP 3.75ML,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
NL BUBBLE BATH 3.75ML ,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
NL BLACK ONYX 3.75ML,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
OPI NATURE STRONG BASE COAT 3.75ML,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
OPI TOP COAT NTT30 3.75ML,NAIL PAINT,₹ 299.00,₹ 253.39,33043000,BTL-BOTTLES
SP DIA BALANCE  MASK 400ML ,System Professional,"₹ 3,100.00","₹ 2,627.12",33059090,CAN-CANS
KP ME+ 10/8 LIGHTEST BLND PRL 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
