PRODUCT NAME,Category,MRP Incl. GST,MRP Ex. GST,HSN CODE,TYPRE
CV BRIGHT AND LIGHT FACE WASH 50ML,Christine Valmy,₹ 295.00,₹ 250.00,3304,TUB-TUBES
CV RADIANCE SPF ,Christine Valmy,₹ 525.00,₹ 444.92,33049990,TUB-TUBES
CV PEEL OFF CHOCOLATE MASK,Christine Valmy,₹ 150.00,₹ 127.12,3304,CAN-CANS
CV PEEL OFF ROSE GLOW MASK,Christine Valmy,₹ 160.00,₹ 135.59,33059090,CAN-CANS
CV PURIFYNG FACE WASH ,Christine Valmy,₹ 214.00,₹ 181.36,33049990,TUB-TUBES
CV FAIR GLOW FACIAL KIT FOR MEN ,Christine Valmy,₹ 325.00,₹ 275.42,33049990,CAN-CANS
CV RADIANCE GLOW KIT ,Christine Valmy,₹ 400.00,₹ 338.98,33049990,CAN-CANS
KP 10/8 LIGHTEST BLND PRL 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
BLONDORPLEX TONER /86 ULTRA COOL 60ML,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP ME+ 6/1 DARK BLND ASH 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
BLOND SOFT BL CREAM 200G,Wella Professional,"₹ 1,000.00",₹ 847.46,33059040,TUB-TUBES
BLONDORPLEX TONER /16 LIGHTEST PEARL 60ML,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
CV RADIANCE FACIAL KIT DRY ,Christine Valmy,₹ 275.00,₹ 233.05,33049990,CAN-CANS
WP ULTIME REPAIR MIRACLE HAIR RESCUE 95ML,Wella Professional,"₹ 3,000.00","₹ 2,542.37",33059050,BTL-BOTTLES
WP ULTIME REPAIR REPAIRING INTENSE MASK 150ML,Wella Professional,"₹ 2,500.00","₹ 2,118.64",33059090,CAN-CANS
WP ULTIME REPAIR REPAIRING SHAMPOO 250ML,Wella Professional,"₹ 1,800.00","₹ 1,525.42",33051090,BTL-BOTTLES
ELEMENTS 2.0 CALM SHAMPOO 1000ML,Wella Professional,"₹ 1,950.00","₹ 1,652.54",33051090,BTL-BOTTLES
SP DIA SHAM-PEELING 150ML,System Professional,"₹ 2,000.00","₹ 1,694.92",33059090,TUB-TUBES
COMPLEXE 5 STIMULATIONG PLANT CONCENTRATE 50 ML,General,"₹ 4,500.00","₹ 3,813.56",33059090,BTL-BOTTLES
CT PURE NATURALS 6/0 60ML ,Wella Professional,₹ 410.00,₹ 347.46,33059040,TUB-TUBES
SP DIA PURIFY SHP 250ML,System Professional,"₹ 2,250.00","₹ 1,906.78",33051090,BTL-BOTTLES
IG ZERO AMM 4-0 60ML,General,₹ 550.00,₹ 466.10,3305,TUB-TUBES
SP BALANCE SCALP MASK 400ML ,Wella Professional,"₹ 2,300.00","₹ 1,949.15",33059090,CAN-CANS
SEB NO BREAKER 100ML,Sebastain,"₹ 3,150.00","₹ 2,669.49",33059050,BTL-BOTTLES
WP INVIGO BLONDE RECHARGE COND 200ML,Wella Professional,₹ 730.00,₹ 618.64,33059040,BTL-BOTTLES
CT PURE NATURALS 4/0 60ML ,Wella Professional,₹ 410.00,₹ 347.46,33059040,TUB-TUBES
CT PURE NATURALS 5/0 60ML ,Wella Professional,₹ 410.00,₹ 347.46,33059040,TUB-TUBES
KP ME+ 7/75 BROWN MHGNY 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
SP HYDRATE MASK 400ML ,System Professional,"₹ 2,600.00","₹ 2,203.39",33059090,CAN-CANS
WP INVIGO BRILL COND 1000ML,Wella Professional,"₹ 2,000.00","₹ 1,694.92",33059090,BTL-BOTTLES
IC COLOR 10/69 -60GMS,Wella Professional,₹ 475.00,₹ 402.54,33059040,TUB-TUBES
KP ME+ 7/47 MEDIUM BLND RED BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
SEB LIQ STEEL STYLER 150ML ,Sebastain,"₹ 1,700.00","₹ 1,440.68",33059090,BTL-BOTTLES
